LAT,LON,YEAR,MO,DY,T2M_RANGE,ALLSKY_SFC_SW_DWN
33.42011,-112.04149,2000,4,16,19.64,7.42
33.42011,-112.04149,2000,4,17,16.8,7.52
33.42011,-112.04149,2000,4,18,11.2,7.25
33.42011,-112.04149,2000,4,19,17.29,7.66
33.42011,-112.04149,2000,4,20,19.43,6.19
33.42011,-112.04149,2000,4,21,15.83,7.59
33.42011,-112.04149,2000,4,22,15.78,7.7
33.42011,-112.04149,2000,4,23,18.31,7.83
33.42011,-112.04149,2000,4,24,19.01,7.9
33.42011,-112.04149,2000,4,25,20.91,7.27
33.42011,-112.04149,2000,4,26,21.94,7.48
33.42011,-112.04149,2000,4,27,21.67,7.53
33.42011,-112.04149,2000,4,28,19.45,7.61
33.42011,-112.04149,2000,4,29,16.22,7.65
33.42011,-112.04149,2000,4,30,19.19,8.04
33.42011,-112.04149,2000,5,1,21.14,7.35
33.42011,-112.04149,2000,5,2,21.32,7.07
33.42011,-112.04149,2000,5,3,21.17,7.32
33.42011,-112.04149,2000,5,4,21.03,7.79
33.42011,-112.04149,2000,5,5,19.89,7.43
33.42011,-112.04149,2000,5,6,19.52,7.75
33.42011,-112.04149,2000,5,7,18.04,7.74
33.42011,-112.04149,2000,5,8,15.63,7.68
33.42011,-112.04149,2000,5,9,18.24,7.05
33.42011,-112.04149,2000,5,10,17.71,8.08
33.42011,-112.04149,2000,5,11,13.62,8.45
33.42011,-112.04149,2000,5,12,17.1,8.44
33.42011,-112.04149,2000,5,13,21.63,7.66
33.42011,-112.04149,2000,5,14,20.32,7.94
33.42011,-112.04149,2000,5,15,17.78,6.24
33.42011,-112.04149,2000,5,16,12.78,8.1
33.42011,-112.04149,2000,5,17,17.79,8.08
33.42011,-112.04149,2000,5,18,18.27,7.63
33.42011,-112.04149,2000,5,19,17.78,7.62
33.42011,-112.04149,2000,5,20,17.85,8.49
33.42011,-112.04149,2000,5,21,20.11,8.71
33.42011,-112.04149,2000,5,22,21.34,8.64
33.42011,-112.04149,2000,5,23,19.78,8.69
33.42011,-112.04149,2000,5,24,17.18,8.27
33.42011,-112.04149,2000,5,25,18.04,8.26
33.42011,-112.04149,2000,5,26,16.56,7.68
33.42011,-112.04149,2000,5,27,19.08,7.81
33.42011,-112.04149,2000,5,28,20.82,8.64
33.42011,-112.04149,2000,5,29,19.5,8.67
33.42011,-112.04149,2000,5,30,17.37,8.47
33.42011,-112.04149,2000,5,31,18.83,8.21
33.42011,-112.04149,2000,6,1,19.03,7.82
33.42011,-112.04149,2000,6,2,18.53,8.2
